# ElectronIx Tool Store — demo catalog for a small CNC job shop.
#
# Edit this file and re-run `store-cli seed` to change the demo. Nothing here
# is real stock; it exists so the terminal, the alerts and the reports have
# something believable to work on before your own catalog is loaded.
#
# Rules: no commas in any field (use a dash), blank means NULL, lines starting
# with # are ignored. Quantities are numeric(12,3) and money numeric(12,2).
#
# Opening quantities are deliberately uneven — a few items sit below their
# reorder level and two are at zero, so the alert console and the tablet banner
# have something to show on day one rather than a wall of green.

item_code,description,category,uom,iso_code,grade,manufacturer,mfr_part_no,diameter_mm,flutes,reorder_level,reorder_qty,bin_location,unit_cost,opening_qty,barcode

# ── Turning inserts ──────────────────────────────────────────────────
CNMG120408-TN2000,CNMG 120408 turning insert - medium roughing,Turning inserts,NOS,CNMG120408,TN2000,Taegutec,TT-CNMG120408,,,20,100,A-01-1,120.50,120,8901234500011
CNMG120404-TT8020,CNMG 120404 turning insert - finishing,Turning inserts,NOS,CNMG120404,TT8020,Taegutec,TT-CNMG120404,,,20,100,A-01-2,132.00,85,8901234500028
DNMG150608-TT5100,DNMG 150608 turning insert - medium,Turning inserts,NOS,DNMG150608,TT5100,Taegutec,TT-DNMG150608,,,15,50,A-01-3,145.00,60,8901234500035
DNMG150604-KC5010,DNMG 150604 turning insert - finishing,Turning inserts,NOS,DNMG150604,KC5010,Kennametal,KM-DNMG150604,,,15,50,A-01-4,186.00,44,
TNMG160408-TN60,TNMG 160408 turning insert - general purpose,Turning inserts,NOS,TNMG160408,TN60,Widia,WD-TNMG160408,,,15,60,A-02-1,138.00,72,8901234500059
VNMG160404-TT7005,VNMG 160404 turning insert - profiling,Turning inserts,NOS,VNMG160404,TT7005,Taegutec,TT-VNMG160404,,,10,40,A-02-2,167.00,26,
WNMG080408-TN2000,WNMG 080408 turning insert - roughing,Turning inserts,NOS,WNMG080408,TN2000,Taegutec,TT-WNMG080408,,,12,50,A-02-3,151.00,38,8901234500073
SNMG120408-TN6020,SNMG 120408 turning insert - heavy roughing,Turning inserts,NOS,SNMG120408,TN6020,Mitsubishi,MI-SNMG120408,,,10,40,A-02-4,178.00,8,
CCMT09T304-TT9080,CCMT 09T304 boring insert - finishing,Turning inserts,NOS,CCMT09T304,TT9080,Taegutec,TT-CCMT09T304,,,10,40,A-03-1,158.00,31,
DCMT11T304-TT8020,DCMT 11T304 boring insert - medium,Turning inserts,NOS,DCMT11T304,TT8020,Taegutec,TT-DCMT11T304,,,10,40,A-03-2,162.00,19,
TPMT110304-TT9080,TPMT 110304 boring insert - small bore,Turning inserts,NOS,TPMT110304,TT9080,Taegutec,TT-TPMT110304,,,10,40,A-03-3,149.00,24,
